"id","ip_address","event_name","match_no","time_sec","robot","alliance","action","location","result","points","timestamp"
"15631","192.168.1.103","Week 6 Mercury","1","0","9492","Blue","starting_position_3","starting_pad","Success","0","2025-04-03 13:07:56"
"15632","192.168.1.133","Week 6 Mercury","1","1","3735","Red","starting_position_1","starting_pad","Success","0","2025-04-03 13:07:56"
"15633","192.168.1.111","Week 6 Mercury","1","1","148","Blue","starting_position_2","starting_pad","Success","0","2025-04-03 13:07:56"
"15634","192.168.1.142","Week 6 Mercury","1","1","9105","Red","starting_position_3","starting_pad","Success","0","2025-04-03 13:07:56"
"15635","192.168.1.109","Week 6 Mercury","1","1","1296","Blue","starting_position_1","starting_pad","Success","0","2025-04-03 13:07:56"
"15636","192.168.1.103","Week 6 Mercury","1","1","9492","Blue","crosses_starting_line","starting_line","Success","3","2025-04-03 13:07:57"
"15637","192.168.1.124","Week 6 Mercury","1","1","231","Red","starting_position_2","starting_pad","Success","0","2025-04-03 13:07:57"
"15638","192.168.1.103","Week 6 Mercury","1","3","9492","Blue","auton_center","starting_pad","Success","0","2025-04-03 13:07:58"
"15639","192.168.1.142","Week 6 Mercury","1","3","9105","Red","auton_center","starting_pad","Success","0","2025-04-03 13:07:58"
"15640","192.168.1.124","Week 6 Mercury","1","3","231","Red","crosses_starting_line","starting_line","Success","3","2025-04-03 13:07:58"
"15641","192.168.1.109","Week 6 Mercury","1","4","1296","Blue","auton_center","starting_pad","Success","0","2025-04-03 13:07:59"
"15642","192.168.1.142","Week 6 Mercury","1","4","9105","Red","crosses_starting_line","starting_line","Success","3","2025-04-03 13:08:00"
"15643","192.168.1.109","Week 6 Mercury","1","5","1296","Blue","crosses_starting_line","starting_line","Success","3","2025-04-03 13:08:00"
"15644","192.168.1.103","Week 6 Mercury","1","5","9492","Blue","scores_coral_level_4","reef","Success","8","2025-04-03 13:08:01"
"15645","192.168.1.133","Week 6 Mercury","1","6","3735","Red","auton_right","starting_pad","Success","0","2025-04-03 13:08:01"
"15646","192.168.1.111","Week 6 Mercury","1","6","148","Blue","crosses_starting_line","starting_line","Success","3","2025-04-03 13:08:01"
